,Topic,P1,P2,Stories In Topic
0,Driving,-0.005809215705511306,0.009423334953976861,79
1,Unexplainable Event,0.2139366973541357,-0.06260343835246136,28
2,Strange Coincidence,0.015106322000626947,0.15346105164507517,28
3,Odd Occurrence with Friends/Family,-0.051463728460694164,-0.07870938521001858,61
4,Little Kids,-0.03797135274798024,-0.01602878282200418,33
5,Murder/kidnapping/death,-0.01653763241428321,0.025604498851282277,87
